"","sample","site","time","date","wellID","pH","notes","type","watertable","Ca","Mg","Na","K","T.hyphen.Al","Si","Mn.hyphen.MP","Mn","Fe.hyphen.MP","Fe","Zn.hyphen.MP","Rb.hyphen.MP","Sr.hyphen.MP","Ba.hyphen.MP","Pb.hyphen.MP","F","Cl","NO3","SO4","DOC","TDN","NH4","M.hyphen.Al","O.hyphen.Al","conductivity","PO4","Sr","Zn"
"260","W3-711","A7","-99",2011-11-03,"A7",5.01,NA,"G3",-99.9,0.45,0.16,0.65,0.22,0.43,2.62,0.039,0.064,0.007,0.09,0.062,8e-04,0.0061,0.01,0.0025,0.05,0.32,0.11,3.27,2.72,0.14,NA,NA,NA,NA,NA,NA,NA
"261","W3-712","N4","-99",2011-11-03,"N4",4.9,NA,"G2",-99.9,0.28,0.11,0.45,0.12,0.54,1.89,0.103,0.123,0.009,0.075,0.048,3e-04,0.0015,0.0144,0.0017,0.02,0.34,1.93,2.91,2.45,0.53,NA,NA,NA,NA,NA,NA,NA
"262","W3-713","Q2","-99",2011-11-03,"Q2",4.96,NA,"G2",-99.9,0.63,0.16,1.08,0.32,0.53,2.06,0.045,0.055,0.024,0.082,0.258,0.0011,0.0051,0.0048,0.0074,0.11,0.37,0.01,2.67,5.09,0.16,NA,NA,NA,NA,NA,NA,NA
"263","W3-714","N5","-99",2011-11-03,"N5",5.22,NA,"G2",-99.9,0.19,0.07,0.4,0.13,0.49,1.45,0.1,0.123,0.004,0.021,0.024,5e-04,0.0014,0.0072,3e-04,0.04,0.31,0.95,2.28,1.56,0.28,NA,NA,NA,NA,NA,NA,NA
"264","W3-715","Q1","-99",2011-11-03,"Q1",4.96,NA,"G1",-99.9,0.78,0.16,0.58,0.31,0.98,2.75,0.305,0.398,0.532,0.954,0.895,0.0011,0.0127,0.0202,0.0429,0.08,0.35,0.31,2.46,12.48,0.36,NA,NA,NA,NA,NA,NA,NA
"265","W3-716","O2","-99",2011-11-03,"O2",4.65,NA,"G1",-99.9,0.78,0.32,0.64,0.12,1.22,3.53,0.578,0.774,0.054,0.578,0.258,5e-04,0.0075,0.0129,0.0178,0.07,0.35,1.77,2.29,20.31,0.78,NA,NA,NA,NA,NA,NA,NA
"266","W3-717","O1","-99",2011-11-04,"O1",5.56,NA,"G2",-99.9,1.04,0.22,0.54,0.25,0.49,3.52,0.451,0.509,2.133,2.398,1.165,8e-04,0.015,0.0072,0.038,0.08,0.37,0.18,2.32,7.98,0.27,NA,NA,NA,NA,NA,NA,NA
"267","W3-718","A6","-99",2011-11-04,"A6",5.74,NA,"G1",36.4,4.16,1.1,1.52,0.98,1.07,6.52,0.386,0.452,0.474,0.923,0.161,0.0028,0.0284,0.0197,0.013,0.05,0.41,0.09,4.57,8.68,0.25,NA,NA,NA,NA,NA,NA,NA
"268","W3-719","A5","-99",2011-11-04,"A5",4.77,NA,"G2",-99.9,0.32,0.14,0.53,0.07,1.05,2.66,0.005,0.008,0.021,0.049,0.014,4e-04,0.0033,0.0066,0.0024,0.02,0.36,0.13,2.9,7.65,0.22,NA,NA,NA,NA,NA,NA,NA
"269","W3-720","K10","-99",2011-11-04,"K10",5.79,NA,"G5",85.6,1.63,0.43,1.31,0.44,0.54,5.54,0.003,0.008,0.009,0.371,0.042,5e-04,0.0119,0.0015,2e-04,0.03,0.31,0.46,3.99,0.67,0.13,NA,NA,NA,NA,NA,NA,NA
"270","W3-721","K1s","-99",2011-11-04,"K1s",5.16,NA,"G5",-99.9,0.59,0.13,0.69,0.02,0.09,2.31,0.014,0.023,0.002,0.021,0.01,1e-04,0.004,0.0033,1e-04,0.02,0.26,0.01,2.95,0.77,0.05,NA,NA,NA,NA,NA,NA,NA
"271","W3-722","K5","-99",2011-11-04,"K5",5.78,NA,"G3",-99.9,1.59,0.32,1.17,0.48,0.11,4.53,0.003,0.008,0.021,0.066,0.01,9e-04,0.0137,0.0014,3e-04,0.03,0.35,0.52,3.79,0.36,0.15,NA,NA,NA,NA,NA,NA,NA
"272","W3-723","K6s","-99",2011-11-04,"K6s",6.55,NA,"G8",-21.4,1.97,0.37,1.13,0.4,0.06,5.3,3.808,4.424,1.24,1.255,0.416,0.001,0.0149,0.0041,0.0083,0.06,0.52,0.02,2.03,3.13,0.44,NA,NA,NA,NA,NA,NA,NA
"273","W3-724","K7s","-99",2011-11-04,"K7s",5.86,NA,"G8",-5,2.31,0.39,1.29,0.47,0.05,4.91,0.002,0.008,0.005,0.021,0.153,0.001,0.0176,0.0027,7e-04,0.03,0.32,0.13,3.87,0.56,0.05,NA,NA,NA,NA,NA,NA,NA
"274","W3-725","K1d","-99",2011-11-04,"K1d",5.86,NA,"G5",-99.9,1.85,0.45,1.36,0.43,0.02,4.54,0.536,0.676,0.007,0.021,0.275,7e-04,0.0122,0.0048,1e-04,0.06,0.31,0.31,3.6,0.44,0.12,NA,NA,NA,NA,NA,NA,NA
"275","W3-726","K11","-99",2011-11-07,"K11",5.14,NA,"G5",92.3,0.59,0.13,0.87,0.13,0.17,2.77,0.021,0.023,0.002,0.021,0.044,5e-04,0.0058,0.006,0.0041,0.05,0.34,0.17,3.43,0.73,0.09,NA,NA,NA,NA,NA,NA,NA
"276","W3-727","D1","-99",2011-11-07,"D1",5.05,NA,"G5",16.1,0.5,0.14,0.67,0.08,0.33,2.75,0.008,0.008,0.007,0.066,0.073,3e-04,0.0048,0.0086,0.002,0.05,0.31,0.04,3.2,2.89,0.11,NA,NA,NA,NA,NA,NA,NA
"277","W3-728","I7","-99",2011-11-07,"I7",5.72,NA,"G8",40.9,1.59,0.38,1.05,0.35,0.33,4.86,0.004,0.103,0.067,0.192,0.172,0.001,0.0085,0.0025,0.0066,0.04,0.45,0.14,3.44,2.1,0.19,NA,NA,NA,NA,NA,NA,NA
"278","W3-734","Q1","-99",2012-02-01,"Q1",5.15,NA,"G1",57.7,0.63,0.19,0.64,0.23,0.7,2.56,0.062,0.078,0.145,0.259,1.788,7e-04,0.0072,0.0171,0.0272,0.09,0.46,2.66,2.27,8.96,0.79,NA,NA,NA,NA,NA,NA,NA
"279","W3-735","Q2","-99",2012-02-01,"Q2",4.87,NA,"G2",-99.9,0.25,0.08,0.63,0.04,0.89,2.06,0.004,0.008,0.016,0.021,0.144,2e-04,0.0025,0.0041,0.0038,0.08,0.4,0.06,2.85,5.06,0.19,NA,NA,NA,NA,NA,NA,NA
"280","W3-736","O1","-99",2012-02-01,"O1",5.8,NA,"G2",55.1,0.93,0.22,0.62,0.21,0.24,2.83,0.321,0.392,0.163,0.192,2.136,9e-04,0.0139,0.0108,0.0125,0.08,0.37,1.27,2.97,4.29,0.44,NA,NA,NA,NA,NA,NA,NA
"281","W3-737","O2","-99",2012-02-01,"O2",4.88,NA,"G1",-99.9,0.96,0.55,0.68,0.1,0.73,2.76,0.369,0.384,0.105,0.227,0.176,7e-04,0.0086,0.0099,0.0126,0.07,0.4,2.88,2.58,11.64,0.89,NA,NA,NA,NA,NA,NA,NA
"282","W3-738","A5","-99",2012-02-01,"A5",4.78,NA,"G2",-99.9,0.34,0.17,0.64,0.04,1.11,2.71,0.004,0.008,0.015,0.021,0.005,3e-04,0.0033,0.0064,8e-04,0.02,0.43,1.91,2.6,6.2,0.55,NA,NA,NA,NA,NA,NA,NA
"283","W3-739","A6","-99",2012-02-01,"A6",5.85,NA,"G1",41.6,3.67,1.02,1.49,0.71,0.56,5.78,0.333,0.402,0.432,0.496,0.05,0.002,0.0221,0.012,0.0085,0.04,0.43,0.01,4.18,8.04,0.16,NA,NA,NA,NA,NA,NA,NA
"284","W3-740","A7","-99",2012-02-01,"A7",4.96,NA,"G3",125.6,0.45,0.13,0.66,0.06,0.59,2.36,0.022,0.022,0.011,0.021,0.023,4e-04,0.0046,0.0087,0.0019,0.06,0.38,1.41,2.65,3.13,0.41,NA,NA,NA,NA,NA,NA,NA
"285","W3-741","N2","-99",2012-02-01,"N2",4.85,NA,"G2",-99.9,0.24,0.08,0.45,0.07,0.78,1.67,0.122,0.141,0.002,0.021,0.079,4e-04,0.0013,0.0111,0.0079,0.01,0.44,4.44,1.73,1.62,1.04,NA,NA,NA,NA,NA,NA,NA
"286","W3-742","N5","-99",2012-02-01,"N5",4.86,NA,"G2",-99.9,0.15,0.06,0.42,0.04,0.75,1.34,0.078,0.089,0.006,0.021,0.018,2e-04,0.0013,0.0064,3e-04,0.01,0.4,3.43,2,1.36,0.81,NA,NA,NA,NA,NA,NA,NA
"287","W3-743","K1d","-99",2012-02-01,"K1d",5.89,NA,"G5",122.6,1.58,0.38,1.3,0.27,0,3.87,0.152,0.22,0,0.021,0.053,4e-04,0.0091,0.0038,0,0.05,0.29,0.27,3.47,0.21,0.09,NA,NA,NA,NA,NA,NA,NA
"288","W3-744","K1s","-99",2012-02-01,"K1s",5.28,NA,"G5",-99.9,0.67,0.17,0.98,0.02,0.05,2.77,0.009,0.008,0,0.021,0.006,1e-04,0.0041,0.003,1e-04,0.07,0.33,0.19,3.36,0.48,0.09,NA,NA,NA,NA,NA,NA,NA
"289","W3-745","K5","-99",2012-02-01,"K5",5.93,NA,"G3",-99.9,1.74,0.34,1.28,0.41,0.08,4.2,0.003,0.008,0.053,0.052,0.02,8e-04,0.0122,0.0014,9e-04,0.05,0.34,0.43,3.6,0.41,0.18,NA,NA,NA,NA,NA,NA,NA
"290","W3-747","JD25","-99",2012-02-02,"JD25",5.97,NA,"G5",62.6,1.35,0.39,1.92,0.22,0.28,5.43,0.004,0.008,0.269,0.19,0.206,9e-04,0.0076,0.005,0.0057,0.03,0.37,0,4.39,1.05,0.06,NA,NA,NA,NA,NA,NA,NA
"291","W3-748","D1","-99",2012-02-02,"D1",5.04,NA,"G5",11.4,0.51,0.16,0.76,0.05,0.29,2.45,0.006,0.008,0.006,0.021,0.04,3e-04,0.0047,0.007,0.004,0.04,0.3,0.53,3.1,2.12,0.19,NA,NA,NA,NA,NA,NA,NA
"292","W3-749","JD03","-99",2012-02-02,"JD03",5.92,NA,"G3",94.5,0.86,0.24,1.09,0.09,0.16,3.49,0.01,0.008,0.283,0.088,1.172,0.0012,0.007,0.0075,0.0185,0.02,0.35,0,3.27,1.24,0.07,NA,NA,NA,NA,NA,NA,NA
"293","W3-750","JD21","-99",2012-02-02,"JD21",5.58,NA,"G5",-99.9,0.67,0.19,0.86,0.04,0.04,2.21,0.005,0.008,0.035,0.021,0.364,3e-04,0.0054,0.0038,0.0026,0.02,0.27,0.02,3.35,0.38,0.07,NA,NA,NA,NA,NA,NA,NA
"294","W3-751","I7","-99",2012-02-02,"I7",5.55,NA,"G8",34,1.97,0.43,0.95,0.29,0.07,3.13,0.006,0.008,0.013,0.021,0.134,0.0012,0.0117,0.0055,0.0028,0.03,0.32,3.47,3.44,1.47,0.81,NA,NA,NA,NA,NA,NA,NA
"295","W3-752","K10","-99",2012-02-08,"K10",5.75,NA,"G5",103.1,1.56,0.35,1.23,0.16,0.03,3.96,0,0.008,0.011,0.021,0.008,3e-04,0.0105,0.0011,0,0.03,0.32,0.64,3.56,0.33,0.18,NA,NA,NA,NA,NA,NA,NA
"296","W3-753","K7s","-99",2012-02-08,"K7s",6.06,NA,"G8",-4.2,2.79,0.38,1.62,0.39,0.01,5.03,0,0.008,0.003,0.021,0.046,8e-04,0.0161,0.0025,3e-04,0.02,0.32,0.89,3.89,0.08,0.36,NA,NA,NA,NA,NA,NA,NA
"297","W3-754","K6s","-99",2012-02-08,"K6s",6.4,NA,"G8",-16.6,1.6,0.27,1.51,0.51,0.05,5.59,1.792,2.483,0.278,0.496,0.506,7e-04,0.0112,0.0039,0.0128,0.03,0.31,0.51,4.2,0.59,0.21,NA,NA,NA,NA,NA,NA,NA
"298","W3-755","K11","-99",2012-02-08,"K11",5.12,NA,"G5",-99.9,0.42,0.09,0.79,0.04,0.15,2.19,0.011,0.008,0.001,0.021,0.021,2e-04,0.0038,0.0051,9e-04,0.03,0.31,0.04,3.09,0.55,0.06,NA,NA,NA,NA,NA,NA,NA
"299","W3-757","JD03","-99",2012-03-22,"JD03",5.44,NA,"G3",-99.9,0.78,0.21,0.95,0.04,0.07,3,0.004,0.008,0.111,0.021,0.096,6e-04,0.0061,0.004,0.0041,0.02,0.3,0.06,2.98,0.74,0.06,NA,NA,NA,NA,NA,NA,NA
"300","W3-758","A5","-99",2012-03-22,"A5",4.66,NA,"G2",-99.9,0.37,0.2,0.68,0.04,1.19,2.54,0.004,0.008,0.011,0.021,0.004,3e-04,0.0035,0.0066,3e-04,0.02,0.42,3.66,2.33,5.27,0.91,NA,NA,NA,NA,NA,NA,NA
"301","W3-759","A6","-99",2012-03-22,"A6",5.93,NA,"G1",-99.9,3.82,1.05,1.73,0.72,0.4,5.77,0.314,0.388,0.265,0.368,0.036,0.0016,0.0225,0.0093,0.0071,0.05,0.45,0.01,4.52,6.95,0.15,NA,NA,NA,NA,NA,NA,NA
"302","W3-760","A7","-99",2012-03-22,"A7",4.94,NA,"G3",-99.9,0.44,0.13,0.67,0.08,0.5,2.18,0.02,0.032,0.006,0.021,0.016,6e-04,0.0052,0.0102,0.0016,0.05,0.35,2.06,2.46,2.02,0.54,NA,NA,NA,NA,NA,NA,NA
"303","W3-761","O1","-99",2012-03-22,"O1",5.15,NA,"G2",40.5,0.65,0.21,0.59,0.12,0.53,2.16,0.166,0.216,0.074,0.115,0.481,7e-04,0.0086,0.0127,0.0231,0.06,0.34,2.28,2.36,5.59,0.96,NA,NA,NA,NA,NA,NA,NA
"304","W3-762","O2","-99",2012-03-22,"O2",5.13,NA,"G1",-99.9,0.98,0.57,0.65,0.14,0.8,1.72,0.189,0.218,0.251,0.343,0.993,7e-04,0.0095,0.0132,0.0523,0.04,0.32,2.06,1.83,14.95,0.72,NA,NA,NA,NA,NA,NA,NA
"305","W3-763","Q1","-99",2012-03-22,"Q1",4.69,NA,"G1",-99.9,0.5,0.16,0.6,0.21,1.03,2.08,0.023,0.038,0.118,0.232,0.405,7e-04,0.0051,0.0237,0.0205,0.05,0.31,2.21,2.33,10.59,0.71,NA,NA,NA,NA,NA,NA,NA
"306","W3-764","Q2","-99",2012-03-22,"Q2",4.78,NA,"G2",-99.9,0.19,0.09,0.63,0.02,0.92,2.09,0.003,0.008,0.009,0.021,0.064,2e-04,0.0022,0.0043,0.002,0.03,0.35,0.32,2.9,4.56,0.21,NA,NA,NA,NA,NA,NA,NA
"307","W3-765","N1","-99",2012-03-22,"N1",4.72,NA,"G1",-99.9,0.25,0.08,0.35,0.61,0.63,1.67,0.1,0.109,0.138,0.241,0.561,0.0023,0.0016,0.0181,0.0309,0.02,0.27,1.23,1.58,11.18,0.59,NA,NA,NA,NA,NA,NA,NA
"308","W3-766","N2","-99",2012-03-22,"N2",4.68,NA,"G2",-99.9,0.22,0.08,0.46,0.16,0.72,1.47,0.14,0.157,0.004,0.021,0.013,6e-04,0.0012,0.0134,4e-04,0.01,0.34,3.81,1.87,2.4,0.94,NA,NA,NA,NA,NA,NA,NA
"309","W3-767","N5","-99",2012-03-22,"N5",4.77,NA,"G2",-99.9,0.15,0.06,0.51,0.06,0.83,1.39,0.072,0.092,0.005,0.021,0.015,2e-04,0.0011,0.0062,3e-04,0.01,0.42,4.35,1.87,1.19,1.05,NA,NA,NA,NA,NA,NA,NA
"310","W3-768","D1","-99",2012-03-22,"D1",4.91,NA,"G5",-99.9,0.57,0.17,0.78,0.12,0.39,2.54,0.005,0.008,0.003,0.021,0.037,5e-04,0.0055,0.0862,0.0033,0.05,0.3,1.65,2.71,2.39,0.46,NA,NA,NA,NA,NA,NA,NA
"311","W3-769","I7","-99",2012-03-22,"I7",5.61,NA,"G8",-99.9,1.53,0.36,1.32,0.24,0.1,4.36,0.005,0.008,0.01,0.021,0.041,9e-04,0.0084,0.0043,0.0023,0.05,0.32,0.96,3.72,2.48,0.32,NA,NA,NA,NA,NA,NA,NA
"312","W3-770","JD21","-99",2012-03-22,"JD21",6.32,NA,"G5",-99.9,0.73,0.22,1.04,0.04,0.05,2.57,0.005,0.008,0.001,0.021,0.028,2e-04,0.0054,0.0023,1e-04,0.02,0.3,0.17,3.56,0.58,0.09,NA,NA,NA,NA,NA,NA,NA
"313","W3-771","JD25","-99",2012-03-22,"JD25",5.99,NA,"G5",-99.9,1.11,0.37,1.33,0.29,0.17,4.28,0.002,0.008,0.178,0.098,0.174,8e-04,0.0064,0.0044,0.0046,0.03,0.35,0.14,3.36,1.57,0.13,NA,NA,NA,NA,NA,NA,NA
"314","W3-772","T1","-99",2012-03-22,"T1",5.36,NA,"G3",-99.9,0.48,0.11,0.59,0.04,0.1,2,0.007,0.008,0.003,0.021,0.058,2e-04,0.004,0.0051,7e-04,0.04,0.34,0.35,2.15,0.82,0.13,NA,NA,NA,NA,NA,NA,NA
"315","W3-773","P2","-99",2012-03-22,"P2",4.72,NA,"G2",-99.9,0.35,0.07,0.46,0.34,0.56,1.55,0.112,0.13,0.011,0.021,0.045,0.0012,0.0016,0.0105,0.0039,0.02,0.32,2.6,2.19,3.84,0.71,NA,NA,NA,NA,NA,NA,NA
"316","W3-774","K1d","-99",2012-03-22,"K1d",6.05,NA,"G5",-99.9,1.54,0.38,1.5,0.35,0,4.12,0.258,0.293,0,0.021,0.055,8e-04,0.0088,0.0035,0,0.04,0.33,0.36,3.55,0.2,0.17,NA,NA,NA,NA,NA,NA,NA
"317","W3-775","K7s","-99",2012-03-22,"K7s",6.07,NA,"G8",-8.3,2.11,0.38,1.75,0.38,0.01,5.41,0.011,0.008,0.005,0.021,0.009,2e-04,0.0048,0.0036,6e-04,0.02,0.32,0.82,3.76,0.18,0.22,NA,NA,NA,NA,NA,NA,NA
"318","W3-776","K5","-99",2012-03-22,"K5",5.92,NA,"G3",-99.9,1.57,0.3,1.25,0.35,0,4.01,0,0.008,0.01,0.021,0.003,7e-04,0.0141,0.0011,0,0.03,0.33,0.81,3.69,0.06,0.23,NA,NA,NA,NA,NA,NA,NA
"319","W3-777","K6s","-99",2012-03-22,"K6s",6.35,NA,"G8",-16.3,1.63,0.31,1.78,0.7,0.1,7.35,1.451,1.95,0.028,0.196,0.469,8e-04,0.0149,0.0045,0.0011,0.01,0.29,0.13,4.99,0.71,0.13,NA,NA,NA,NA,NA,NA,NA
"320","W3-778","K10","-99",2012-03-22,"K10",5.9,NA,"G5",-99.9,1.33,0.28,1.07,0.21,0.02,3.06,0.001,0.008,0.007,0.021,0.004,3e-04,0.01,0.001,1e-04,0.03,0.35,1.25,2.99,0.3,0.35,NA,NA,NA,NA,NA,NA,NA
"321","W3-779","K11","-99",2012-03-22,"K11",5.05,NA,"G5",-99.9,0.47,0.1,0.87,0.06,0.12,2.33,0.01,0.008,0.015,0.021,0.036,3e-04,0.0048,0.0032,8e-04,0.04,0.31,0.14,3.1,0.39,0.09,NA,NA,NA,NA,NA,NA,NA
"322","W3-780","K1s","-99",2012-03-22,"K1s",5.21,NA,"G5",-99.9,0.65,0.18,0.99,0.06,0.08,2.49,0,0.008,0.002,0.021,0.03,9e-04,0.0162,0.002,2e-04,0.01,0.29,0.83,3.12,0.71,0.26,NA,NA,NA,NA,NA,NA,NA
"323","W3-783","N5","-99",2012-04-24,"N5",4.65,NA,"G2",-99.9,0.15,0.06,0.46,0.07,0.61,1.58,0.111,0.122,0.004,0.021,0.015,3e-04,0.0011,0.0061,1e-04,0.01,0.37,2.87,1.79,1.34,0.74,NA,NA,NA,NA,NA,NA,NA
"324","W3-784","O2","-99",2012-04-24,"O2",4.35,NA,"G1",-99.9,0.68,0.38,0.51,0.12,1.01,2.22,0.13,0.145,0.13,0.336,0.108,8e-04,0.0073,0.0088,0.0049,0.03,0.32,1.27,1.92,20.11,0.69,NA,NA,NA,NA,NA,NA,NA
"325","W3-785","H4","-99",2012-04-24,"H4",5.06,NA,"G3",203.8,0.69,0.14,0.71,0.22,0.12,2.36,0.016,0.029,0.003,0.049,0.016,7e-04,0.0073,0.0083,5e-04,0.04,0.35,0.21,3.91,0.75,0.13,NA,NA,NA,NA,NA,NA,NA
"326","W3-787","JD25","-99",2012-04-24,"JD25",6.12,NA,"G5",-99.9,0.85,0.29,1.54,0.25,0.09,4.97,0.002,0.008,0.227,0.077,0.631,9e-04,0.0059,0.0051,0.0075,0.08,0.38,0.08,3.65,1.48,0.1,NA,NA,NA,NA,NA,NA,NA
"327","W3-788","JD21","-99",2012-04-24,"JD21",5.52,NA,"G5",-99.9,0.66,0.18,0.88,0.05,0.07,2.72,0.006,0.008,0.081,0.021,0.167,6e-04,0.0056,0.0042,0.0048,0.03,0.34,0,3.1,0.94,0.04,NA,NA,NA,NA,NA,NA,NA
"328","W3-789","K1s","-99",2012-04-24,"K1s",5.26,NA,"G5",-99.9,0.61,0.16,0.9,0.03,0.05,3.1,0.009,0.008,0.002,0.021,0.007,2e-04,0.0045,0.0036,3e-04,0.02,0.38,0.12,3.21,0.77,0.09,NA,NA,NA,NA,NA,NA,NA
"329","W3-790","K10","-99",2012-04-24,"K10",5.46,NA,"G5",-99.9,0.85,0.18,0.78,0.08,0.02,2.48,0.012,0.008,0,0.021,0.005,2e-04,0.0069,0.0017,0,0.02,0.33,0.48,2.99,0.45,0.16,NA,NA,NA,NA,NA,NA,NA
"330","W3-791","N2","-99",2012-04-24,"N2",4.76,NA,"G2",99.3,0.25,0.08,0.44,0.38,0.6,1.75,0.146,0.16,0.007,0.021,0.017,6e-04,0.0015,0.0115,5e-04,0.02,0.57,2.95,1.76,2.5,0.76,NA,NA,NA,NA,NA,NA,NA
"331","W3-792","K5","-99",2012-04-24,"K5",6.06,NA,"G3",-99.9,1.62,0.32,1.22,0.4,0.07,4.8,0.002,0.008,0.055,0.043,0.005,9e-04,0.0127,0.0012,6e-04,0.02,0.32,0.44,3.6,0.33,0.15,NA,NA,NA,NA,NA,NA,NA
"332","W3-793","K1d","-99",2012-04-24,"K1d",5.94,NA,"G5",-99.9,1.42,0.33,1.21,0.29,0,4.11,0.229,0.24,0,0.021,0.046,6e-04,0.0092,0.0035,0,0.03,0.33,0.2,3.41,0.29,0.1,NA,NA,NA,NA,NA,NA,NA
"333","W3-794","O1","-99",2012-04-24,"O1",4.82,NA,"G2",-99.9,0.48,0.19,0.56,0.09,0.7,2.61,0.136,0.143,0.071,0.097,0.3,6e-04,0.0071,0.0112,0.013,0.04,0.36,1.07,2.37,6.96,0.42,NA,NA,NA,NA,NA,NA,NA
"334","W3-795","K7s","-99",2012-04-24,"K7s",6.14,NA,"G8",-99.9,2.02,0.35,1.47,0.38,0,5.62,0.001,0.008,0.006,0.021,0.033,8e-04,0.0171,0.0017,2e-04,0.03,0.33,0.15,3.66,0.34,0.08,NA,NA,NA,NA,NA,NA,NA
"335","W3-796","T1","-99",2012-04-24,"T1",5.37,NA,"G3",112.8,0.51,0.11,0.62,0.04,0.08,2.23,0.007,0.008,0.004,0.021,0.086,2e-04,0.0045,0.004,5e-04,0.03,0.34,0.14,2.36,0.91,0.1,NA,NA,NA,NA,NA,NA,NA
"336","W3-797","A5","-99",2012-04-24,"A5",4.68,NA,"G2",-99.9,0.35,0.17,0.6,0.04,1.01,2.64,0.004,0.008,0.015,0.021,0.004,3e-04,0.0037,0.0062,4e-04,0.03,0.46,1.84,2.34,6.1,0.59,NA,NA,NA,NA,NA,NA,NA
"337","W3-798","Q2","-99",2012-04-24,"Q2",4.83,NA,"G2",-99.9,0.22,0.1,0.63,0.04,0.63,2.27,0.004,0.008,0.012,0.021,0.075,2e-04,0.0026,0.0041,0.0044,0.03,0.34,0.04,2.74,4.6,0.15,NA,NA,NA,NA,NA,NA,NA
"338","W3-799","I7","-99",2012-04-24,"I7",5.6,NA,"G8",-99.9,1.64,0.34,1.18,0.25,0.22,4.76,0.006,0.008,0.018,0.05,0.036,9e-04,0.0106,0.0053,0.0046,0.04,0.39,0.32,3.3,5.88,0.25,NA,NA,NA,NA,NA,NA,NA
"339","W3-800","JD03","-99",2012-04-24,"JD03",5.53,NA,"G3",-99.9,0.73,0.19,0.92,0.04,0.07,3.18,0.001,0.008,0.004,0.021,0.009,2e-04,0.0066,0.0021,1e-04,0.03,0.34,0.01,2.98,1.23,0.06,NA,NA,NA,NA,NA,NA,NA
"340","W3-801","A6","-99",2012-04-24,"A6",5.98,NA,"G1",-99.9,3.69,0.95,1.46,0.71,0.62,6.46,0.313,0.355,0.449,0.55,0.06,0.0022,0.024,0.0112,0.0082,0.03,0.45,0.01,4.69,7.06,0.14,NA,NA,NA,NA,NA,NA,NA
"341","W3-802","N1","-99",2012-04-24,"N1",4.67,NA,"G1",-99.9,0.35,0.12,0.4,0.84,0.69,2.28,0.144,0.158,0.27,0.263,0.905,0.0029,0.0027,0.0227,0.0519,0.07,0.53,0.54,1.71,15.59,0.54,NA,NA,NA,NA,NA,NA,NA
"342","W3-803","Q1","-99",2012-04-24,"Q1",4.58,NA,"G1",-99.9,0.43,0.15,0.54,0.28,1.15,2.57,0.016,0.02,0.102,0.183,0.25,0.0011,0.005,0.0219,0.0212,0.04,0.44,1.71,2.24,11.73,0.67,NA,NA,NA,NA,NA,NA,NA
"343","W3-804","P2","-99",2012-04-24,"P2",4.44,NA,"G2",-99.9,0.41,0.1,0.42,0.46,0.64,1.73,0.14,0.16,0.023,0.042,0.036,0.0017,0.0021,0.0117,0.0064,0.04,0.45,3.19,2,4.93,0.91,NA,NA,NA,NA,NA,NA,NA
"344","W3-805","A7","-99",2012-04-24,"A7",4.85,NA,"G3",-99.9,0.45,0.12,0.7,0.11,0.5,2.44,0.016,0.022,0.008,0.021,0.01,5e-04,0.0057,0.0086,4e-04,0.04,0.35,2.08,2.37,2.25,0.57,NA,NA,NA,NA,NA,NA,NA
"345","W3-806","K4m","-99",2012-04-24,"K4m",NA,NA,"G5",-99.9,2.2,0.54,1.65,0.8,0.09,6.79,0.008,1.603,0.003,2.509,0.053,2e-04,0.0043,0.0044,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","W3-807","K6s","-99",2012-04-24,"K6s",6.33,NA,"G8",-99.9,1.63,0.3,1.6,0.81,0.1,6.63,1.253,1.95,0.168,0.31,0.451,0.001,0.0139,0.0031,0.0088,0.02,0.43,0.11,2.78,1.44,0.12,NA,NA,NA,NA,NA,NA,NA
"347","W3-808","D1","-99",2012-04-24,"D1",4.94,NA,"G5",-99.9,0.54,0.17,0.73,0.33,0.3,2.85,0.009,0.008,0.007,0.021,0.025,6e-04,0.0061,0.0083,0.0022,0.02,0.56,0.99,2.57,2.63,0.33,NA,NA,NA,NA,NA,NA,NA
"348","W3-812","K11","-99",2012-04-24,"K11",5.14,NA,"G5",-99.9,0.48,0.12,0.87,0.11,0.1,2.72,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.03,0.4,0.06,3.24,0.59,0.06,NA,NA,NA,NA,NA,NA,NA
"349","W3-814","O2","-99",2012-07-31,"O2",NA,NA,"G1",-99.9,0.91,0.48,0.62,0.13,1.11,4.07,0.178,0.208,0.252,0.306,4.105,0.001,0.0101,0.0102,0.1232,0.04,0.29,0.01,1.8,23.64,0.42,NA,NA,NA,NA,NA,NA,NA
"350","W3-816","A6","-99",2012-07-31,"A6",NA,NA,"G1",-99.9,3.98,1.03,1.64,0.93,0.7,7.04,0.263,0.287,0.719,0.657,0.134,0.0032,0.0284,0.0148,0.0175,0.04,0.49,0,5.57,8.54,0.17,NA,NA,NA,NA,NA,NA,NA
"351","W3-817","K6s","-99",2012-07-31,"K6s",NA,NA,"G8",-99.9,2.32,0.53,1.75,0.68,0.07,6.95,2.048,1.936,2.46,1.317,0.451,0.0019,0.02,0.0079,0.1017,0.04,0.32,0.38,0.94,4.68,0.31,NA,NA,NA,NA,NA,NA,NA
